,id,text,created_at,lang,city_district
35,1475796745053302785,"I love the people living in Strausberger Platz, they collect white dogs like nobody else. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T11:52:17.000Z,en,Friedrichshain
36,1475780523372863490,"I love the people living in Friedrichsberger Straße, they always have a nice word. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T10:47:50.000Z,en,Friedrichshain
37,1475567534996738048,"I love the people living in Brachvogelstraße, they are great parking lots connoisseurs. #Berlin #Kreuzberg #Friedrichshain",2021-12-27T20:41:29.000Z,en,Friedrichshain
38,1475552774469345285,"@sniff91 We’ll make it happen bro, meet thi in Prenzlauer Berg or Friedrichshain.",2021-12-27T19:42:50.000Z,en,Friedrichshain
39,1475522723480674306,"I love the people living in Admiralstraße, they have nice thumbs. #Berlin #Kreuzberg #Friedrichshain",2021-12-27T17:43:25.000Z,en,Friedrichshain
40,1475416497329623042,"I love the people living in Askanischer Platz, they change a tyre in no time. #Berlin #Kreuzberg #Friedrichshain",2021-12-27T10:41:19.000Z,en,Friedrichshain
41,1475116812505432065,"@BridgetEAnders Dussman has large selection, Scharze Risse for left wing books, and then I enjoy Shakespeare Bookstore/Buchandlung Friedrichshain etc..",2021-12-26T14:50:29.000Z,en,Friedrichshain
42,1475099524473393154,"I love the people living in Schleiermacherstraße, they are astounding. #Berlin #Kreuzberg #Friedrichshain",2021-12-26T13:41:47.000Z,en,Friedrichshain
43,1474933300007301121,"I love the people living in Dresdener Straße, they grow the best apples. #Berlin #Kreuzberg #Friedrichshain",2021-12-26T02:41:16.000Z,en,Friedrichshain
44,1474902950338170880,"I love the people living in Straße der Pariser Kommune, they are so optimistic. #Berlin #Kreuzberg #Friedrichshain",2021-12-26T00:40:40.000Z,en,Friedrichshain
45,1474872803945947137,"I love the people living in Schenkendorfstraße, they read a lot. #Berlin #Kreuzberg #Friedrichshain",2021-12-25T22:40:52.000Z,en,Friedrichshain
46,1474676578651021313,"I love the people living in Schwiebusser Straße, they are sound and calm. #Berlin #Kreuzberg #Friedrichshain",2021-12-25T09:41:09.000Z,en,Friedrichshain
47,1474510533172752384,"I love the people living in Jessnerstraße, they wear great shoes. #Berlin #Kreuzberg #Friedrichshain",2021-12-24T22:41:20.000Z,en,Friedrichshain
48,1474465280864632834,"I love the people living in Ruhlsdorfer Straße, they are specialized in nail clippers. #Berlin #Kreuzberg #Friedrichshain",2021-12-24T19:41:31.000Z,en,Friedrichshain
49,1474450237037027328,"I love the people living in Lobeckstraße, they know really good jokes. #Berlin #Kreuzberg #Friedrichshain",2021-12-24T18:41:45.000Z,en,Friedrichshain
50,1474193535226187788,"I love the people living in Lausitzer Platz, they change a tyre in no time. #Berlin #Kreuzberg #Friedrichshain",2021-12-24T01:41:42.000Z,en,Friedrichshain
51,1474163274639765504,"I love the people living in Zimmerstraße, they are specialized in sketch pads. #Berlin #Kreuzberg #Friedrichshain",2021-12-23T23:41:27.000Z,en,Friedrichshain
52,1473983080742281218,"I love the people living in Fidicinstraße, they wear great shoes. #Berlin #Kreuzberg #Friedrichshain",2021-12-23T11:45:26.000Z,en,Friedrichshain
53,1473831216142901250,"I love the people living in Mariannenstraße, they are phenomenal. #Berlin #Kreuzberg #Friedrichshain",2021-12-23T01:41:59.000Z,en,Friedrichshain
54,1473661227180208136,@EvesGoodBoy @YosarianTwo and yet somewhere in friedrichshain there's someone building a biolab out of random shit they just seem to accumulate,2021-12-22T14:26:30.000Z,en,Friedrichshain
55,1473651827681943559,"RT @CarinoBRLN: I love the people living in Niederkirchnerstraße, they like to beat food with a whisk. #Berlin #Kreuzberg #Friedrichshain",2021-12-22T13:49:09.000Z,en,Friedrichshain
56,1473650768120991745,"I love the people living in Niederkirchnerstraße, they like to beat food with a whisk. #Berlin #Kreuzberg #Friedrichshain",2021-12-22T13:44:56.000Z,en,Friedrichshain
57,1476065859466526722,"I love the people living in Georgstraße, they are real berliners. #Berlin #Marzahn #Hellersdorf",2021-12-29T05:41:39.000Z,en,Hellersdorf
58,1475296480931971073,"I love the people living in Marchwitzastraße, they sing very well. #Berlin #Marzahn #Hellersdorf",2021-12-27T02:44:25.000Z,en,Hellersdorf
59,1474631325772439553,"I love the people living in Achardstraße, they are astounding. #Berlin #Marzahn #Hellersdorf",2021-12-25T06:41:20.000Z,en,Hellersdorf
60,1474585943722000385,"I love the people living in Drausnitzer Straße, they eat a lot of fish. #Berlin #Marzahn #Hellersdorf",2021-12-25T03:41:00.000Z,en,Hellersdorf
61,1474480098552135683,"I love the people living in Gülser Weg, they change a tyre in no time. #Berlin #Marzahn #Hellersdorf",2021-12-24T20:40:24.000Z,en,Hellersdorf
62,1474405111677943812,"I love the people living in Tiergartenstraße, they make the nicest soy sauce packets. #Berlin #Marzahn #Hellersdorf",2021-12-24T15:42:26.000Z,en,Hellersdorf
63,1474180606657400837,"I love the people living in Müllerstraße, they are specialized in sketch pads. #Berlin #Marzahn #Hellersdorf",2021-12-24T00:50:20.000Z,en,Hellersdorf
64,1474148295580663827,"I love the people living in Dubickstraße, they are sensational. #Berlin #Marzahn #Hellersdorf",2021-12-23T22:41:56.000Z,en,Hellersdorf
65,1473620071318626306,"I love the people living in Hasenholzer Allee, they put China on the cultural map. #Berlin #Marzahn #Hellersdorf",2021-12-22T11:42:58.000Z,en,Hellersdorf
66,1476126205900324864,"I love the people living in Hausburgstraße, they cook well. #Berlin #Kreuzberg #Friedrichshain",2021-12-29T09:41:27.000Z,en,Kreuzberg
